BALANCE_TYPE_NAME,BT_ID,SOURCE_CNT,SOURCE_VAL,DISCARDED_CNT,DISCARDED_VAL,BT-CONDITION,CONDITIONAL_SOURCE_CNT,CONDITIONAL_SOURCE_VAL,CONDITIONAL_DISCARDED_CNT,CONDITIONAL_DISCARDED_VAL,TRACK_EXTRA,DISCARDED_REMARK,BT_UNIT_TYPE,SOURCE_NEGATIVE_BALANCE,DISCARDED_NEGATIVE_BALANCE
MobileData,1157,249445,0,249445,0,1157:>=:1:::;,0,0,0,0,,Service class Ignored-30;Balance_Type match condition failed-249413;Balance_Type expired-1;Subscriber relation missing-1;,Cash,-113125,0
RaomingDataMonthly,1199,454,404247233,0,0,1199:>=:-99999999:::;,454,3291227279,0,0,;5058-399;,,Cash,-108114,0
AllValueActive,2772,79,79,16,16,2772:=:1:::;,79,79,16,16,,Balance_Type match condition failed-9;Balance_Type expired-7;,Units,0,0
AllValuePurchCount,2773,8,9,8,9,2773:>=:1:::;,8,9,8,9,,Balance_Type expired-8;,Units,0,0
ZSocialActRetry,2732,94,36,94,36,2732:or:1#2#3:::;,13,36,13,36,,NetworkBundle specific BT ignored-13;Balance_Type match condition failed-81;,Units,0,0
ZSocialActRetry,2732,94,36,94,36,2732:=:0:::;,81,0,81,0,,NetworkBundle specific BT ignored-13;Balance_Type match condition failed-81;,Units,0,0
AllValueCUG,2774,52,7891700,52,7891700,2774:>=:-99999999:::;,52,7891700,52,7891700,;3041-8;,Balance_Type match condition failed-51;Balance_Type expired-1;,Time,0,0
ZChatActRetry,2733,199,24,199,24,2733:=:0:::;,191,0,191,0,,NetworkBundle specific BT ignored-8;Balance_Type match condition failed-191;,Units,0,0
ZChatActRetry,2733,199,24,199,24,2733:or:1#2#3:::;,8,24,8,24,,NetworkBundle specific BT ignored-8;Balance_Type match condition failed-191;,Units,0,0
AllValueNat,2775,4,1055700,1,0,2775:>=:-99999999:::;,4,1055700,1,0,,Balance_Type match condition failed-1;,Time,0,0
AllValueFlexi,2776,46,2675400,46,2675400,2776:>=:-99999999:::;,46,2675400,46,2675400,,Balance_Type match condition failed-45;Balance_Type expired-1;,Time,0,0
AllValueFlexiDaily,2777,32,357300,32,357300,2777:>=:-99999999:::;,32,357300,32,357300,,Balance_Type match condition failed-25;Balance_Type expired-7;,Time,0,0
_pc_EarlyBird25GBNotification_B4Exp_PC,1030,2,2,2,2,1030:::::;,0,0,0,0,,Balance_Type lookup failed-2;,State,0,0
AllValueData,2778,4,201984,1,0,2778:>=:-99999999:::;,4,201984,1,0,,Balance_Type match condition failed-1;,Data,0,0
_pc_SmartPhone_Instalment12_PC,1031,952,951,952,951,1031:::::;,0,0,0,0,,Balance_Type expired-1;Balance_Type lookup failed-951;,State,0,0
AllValueDataDaily,2779,4,51200,4,51200,2779:>=:-99999999:::;,4,51200,4,51200,,Balance_Type match condition failed-2;Balance_Type expired-2;,Data,0,0
_pc_SmartPhone_Instalment24_PC,1032,330,330,330,330,1032:::::;,0,0,0,0,,Balance_Type lookup failed-330;,State,0,0
_pc_Instalment12Notification_B4Exp_PC,1033,3597,3596,3597,3596,1033:::::;,0,0,0,0,,Balance_Type lookup failed-3597;,State,0,0
_pc_RoamingDataDailyBundle,2192,95,367,45,67,2192:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-44;Balance_Type expired-1;,State,0,0
_pc_RoamingDataDailyBundle,2192,95,367,45,67,2192:or:3#4#5#6:::;,50,300,0,0,,Periodic Charge is not active-44;Balance_Type expired-1;,State,0,0
_pc_RoamingDataDailyGrace,2193,36,102,25,36,2193:or:3#4#5#6#7#8#9:::;,11,66,0,0,,Periodic Charge is not active-24;Balance_Type expired-1;,State,0,0
Camp Int Disc,2152,140037,10778270,1093,87600,2152:or:10#20#25#30#50#65#70#80#85:::;,139964,10767190,1020,76520,,Lifecycle lookup mismatch-1;Balance_Type match condition failed-73;Balance_Type expired-1019;,Units,0,0
_pc_Instalment24Notification_B4Exp_PC,1034,560,593,560,593,1034:::::;,0,0,0,0,,Balance_Type lookup failed-560;,State,0,0
Blackberry Bundle,1035,268312,178322,268312,178322,1035:=:6:::;,26808,160848,26808,160848,,Service class Ignored-13;NetworkBundle specific BT ignored-234826;Balance_Type match condition failed-33473;,Units,0,0
Blackberry Bundle,1035,268312,178322,268312,178322,1035:=:4:::;,574,2296,574,2296,,Service class Ignored-13;NetworkBundle specific BT ignored-234826;Balance_Type match condition failed-33473;,Units,0,0
Blackberry Bundle,1035,268312,178322,268312,178322,1035:=:3:::;,902,2706,902,2706,,Service class Ignored-13;NetworkBundle specific BT ignored-234826;Balance_Type match condition failed-33473;,Units,0,0
Blackberry Bundle,1035,268312,178322,268312,178322,1035:=:1:::;,580,580,580,580,,Service class Ignored-13;NetworkBundle specific BT ignored-234826;Balance_Type match condition failed-33473;,Units,0,0
Blackberry Bundle,1035,268312,178322,268312,178322,1035:=:5:::;,79,395,79,395,,Service class Ignored-13;NetworkBundle specific BT ignored-234826;Balance_Type match condition failed-33473;,Units,0,0
Blackberry Bundle,1035,268312,178322,268312,178322,1035:=:7:::;,487,3409,487,3409,,Service class Ignored-13;NetworkBundle specific BT ignored-234826;Balance_Type match condition failed-33473;,Units,0,0
Blackberry Bundle,1035,268312,178322,268312,178322,1035:=:2:::;,4044,8088,4044,8088,,Service class Ignored-13;NetworkBundle specific BT ignored-234826;Balance_Type match condition failed-33473;,Units,0,0
Blackberry Bundle,1035,268312,178322,268312,178322,1035:=:0:::;,234838,0,234838,0,,Service class Ignored-13;NetworkBundle specific BT ignored-234826;Balance_Type match condition failed-33473;,Units,0,0
ZingerPPU,2112,1456660,505862,1027508,54,2112:=:1:::;,352536,352536,40,40,,Service class Ignored-54;Lifecycle lookup mismatch-3;Balance_Type match condition failed-1027445;Subscriber relation missing-6;,Units,0,0
ZingerPPU,2112,1456660,505862,1027508,54,2112:=:2:::;,76663,153326,7,14,,Service class Ignored-54;Lifecycle lookup mismatch-3;Balance_Type match condition failed-1027445;Subscriber relation missing-6;,Units,0,0
Camp Int Disc Dest,2154,573579,1159788,434635,881900,2154:or:1#2#3#4#5#6#7#8#9#10#11#12#13#14#15:::;,573579,1159788,434635,881900,,Service class Ignored-1;Lifecycle lookup mismatch-1;Balance_Type match condition failed-434632;Subscriber relation missing-1;,Units,0,0
_pc_BlackBerry100MB_R,1036,31,186,1,6,1036:or:7#8#9:::;,0,0,0,0,,Balance_Type match condition failed-1;,State,0,0
_pc_BlackBerry100MB_R,1036,31,186,1,6,1036:or:3#4#5#6:::;,31,186,1,6,,Balance_Type match condition failed-1;,State,0,0
_pc_BlackBerry1GB_R,1037,19,114,0,0,1037:or:3#4#5#6:::;,19,114,0,0,,,State,0,0
_pc_BlackBerry1GB_R,1037,19,114,0,0,1037:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_BlackBerry4GB_R,1038,22,134,0,0,1038:or:3#4#5#6:::;,21,126,0,0,;91-1;,,State,0,0
_pc_BlackBerry4GB_R,1038,22,134,0,0,1038:or:7#8#9:::;,1,8,0,0,;91-1;,,State,0,0
_pc_BlackBerry25GB_R,1039,10,60,0,0,1039:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_BlackBerry25GB_R,1039,10,60,0,0,1039:or:3#4#5#6:::;,10,60,0,0,,,State,0,0
Camp Int Disc Promo,2159,573579,573713,434635,434769,2159:or:1#2#3#4#5:::;,573579,573713,434635,434769,,Service class Ignored-1;Lifecycle lookup mismatch-1;Balance_Type match condition failed-434632;Subscriber relation missing-1;,Units,0,0
OneWayFnF,3461,57555,224789,57552,224782,3461:>=:-99999999:::;,57555,224789,57552,224782,,Balance_Type match condition failed-57212;Balance_Type expired-340;,Units,0,0
OneWayFnFWActive,3462,11759,40636,6932,22353,3462:=:3:::;,2080,6240,951,2853,,Balance_Type match condition failed-6542;Balance_Type expired-390;,Units,0,0
OneWayFnFWActive,3462,11759,40636,6932,22353,3462:=:7:::;,442,3094,214,1498,,Balance_Type match condition failed-6542;Balance_Type expired-390;,Units,0,0
OneWayFnFWActive,3462,11759,40636,6932,22353,3462:=:2:::;,1029,2058,462,924,,Balance_Type match condition failed-6542;Balance_Type expired-390;,Units,0,0
OneWayFnFWActive,3462,11759,40636,6932,22353,3462:=:6:::;,2128,12768,1101,6606,,Balance_Type match condition failed-6542;Balance_Type expired-390;,Units,0,0
OneWayFnFWActive,3462,11759,40636,6932,22353,3462:=:1:::;,1521,1521,677,677,,Balance_Type match condition failed-6542;Balance_Type expired-390;,Units,0,0
OneWayFnFWActive,3462,11759,40636,6932,22353,3462:=:5:::;,2991,14955,1959,9795,,Balance_Type match condition failed-6542;Balance_Type expired-390;,Units,0,0
_pc_MoviePassAutoStop_PC,3422,196,884,72,140,3422:or:3#4#5#6:::;,127,762,3,18,,Periodic Charge is not active-62;Balance_Type expired-10;,State,0,0
OneWayFnFMActive,3463,47778,127031,8779,22401,3463:=:7:::;,458,3206,78,546,,Balance_Type match condition failed-8493;Balance_Type expired-286;,Units,0,0
OneWayFnFMActive,3463,47778,127031,8779,22401,3463:=:2:::;,2566,5132,401,802,,Balance_Type match condition failed-8493;Balance_Type expired-286;,Units,0,0
OneWayFnFMActive,3463,47778,127031,8779,22401,3463:=:6:::;,8838,53028,1846,11076,,Balance_Type match condition failed-8493;Balance_Type expired-286;,Units,0,0
OneWayFnFMActive,3463,47778,127031,8779,22401,3463:=:1:::;,25797,25797,4440,4440,,Balance_Type match condition failed-8493;Balance_Type expired-286;,Units,0,0
OneWayFnFMActive,3463,47778,127031,8779,22401,3463:=:5:::;,5786,28930,778,3890,,Balance_Type match condition failed-8493;Balance_Type expired-286;,Units,0,0
OneWayFnFMActive,3463,47778,127031,8779,22401,3463:=:3:::;,3646,10938,549,1647,,Balance_Type match condition failed-8493;Balance_Type expired-286;,Units,0,0
_pc_MoviePass2AutoStop_PC,3423,339,1593,101,165,3423:or:3#4#5#6:::;,250,1500,12,72,,Periodic Charge is not active-56;Balance_Type expired-45;,State,0,0
OneWayFnFReset,3464,44498,36384,44495,36383,3464:>=:-99999999:::;,44498,36384,44495,36383,,Balance_Type match condition failed-44148;Balance_Type expired-347;,Units,0,0
CashRechPromoState,3424,12893,12893,0,0,3424:>=:1:::;,12893,12893,0,0,,,Units,0,0
AutoTopUp Active,3192,59101,56624,2478,1,3192:=:1:::;,56624,56624,1,1,,Balance_Type match condition failed-2477;Subscriber relation missing-1;,Units,0,0
OneWayOptOutW,3466,244,0,241,0,3466:>=:-99999999:::;,244,0,241,0,,Balance_Type match condition failed-197;Balance_Type expired-44;,Units,0,0
_pc_NewDaily_PC,3152,178680,1059487,178680,1059487,3152:::::;,178680,990565,178680,990565,,Balance_Type Ignored-178680;,State,0,0
OneWayOptOutM,3467,301,0,298,0,3467:>=:-99999999:::;,301,0,298,0,,Balance_Type match condition failed-239;Balance_Type expired-59;,Units,0,0
WiFiCardValue,3112,1,0,1,0,3112:::::;,0,0,0,0,,Balance_Type lookup failed-1;,Cash,0,0
OneWayFnFWeekly1,3427,993,631535800,100,12317400,3427:>=:-99999999:::;,993,631535800,100,12317400,;1322-52;,Balance_Type match condition failed-73;Balance_Type expired-27;,Time,0,0
_pc_NewDailyGrace_PC,3153,160463,2171117,160463,2171117,3153:::::;,160463,2021095,160463,2021095,,Balance_Type Ignored-160463;,State,0,0
Azure_bonus_grant_New,3468,209,1913671968,3,0,3468:>=:1:::;,206,1913671968,0,0,,Balance_Type match condition failed-3;,Data,0,0
HotelPrepaidVoice,3154,2,1200000,0,0,3154:>=:-99999999:::;,2,1200000,0,0,,,Time,0,0
OneWayFnFWeekly2,3428,676,347890700,90,4039900,3428:>=:-99999999:::;,676,347890700,90,4039900,;1323-24;,Balance_Type match condition failed-73;Balance_Type expired-17;,Time,0,0
HotelPrepaidData,3155,2,1200000,0,0,3155:>=:-99999999:::;,2,3145728,0,0,,,Data,0,0
OneWayFnFWeekly3,3429,1317,948308500,146,15987400,3429:>=:-99999999:::;,1317,948308500,146,15987400,;1324-50;,Balance_Type match condition failed-95;Balance_Type expired-51;,Time,0,0
_pc_HotelPrepaidTopUp_PC,3156,2,12,0,0,3156:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_HotelPrepaidTopUp_PC,3156,2,12,0,0,3156:or:3#4#5#6:::;,2,12,0,0,,,State,0,0
RamadanSMS,985,4,3326,4,3326,985:::::;,4,3326,4,3326,,Balance_Type Ignored-4;,Units,0,0
MonthlySMSCheck,1892,832578,967229,8021,8624,1892:>=:0:::;,832578,967229,8021,8624,,Service class Ignored-125;Lifecycle lookup mismatch-2;Balance_Type expired-7892;Subscriber relation missing-2;,Units,0,0
Music Bundle Daily,1852,293,8387520,285,0,1852:>=:-99999999:::;,293,8384800,285,-2720,,Balance_Type match condition failed-285;,Data,0,0
Music Bundle Monthly,1853,1,0,1,0,1853:>=:-99999999:::;,1,0,1,0,,Balance_Type match condition failed-1;,Data,0,0
Music Bundle Status,1854,314,33,314,33,1854:=:1:::;,23,23,23,23,,NetworkBundle specific BT ignored-4;Balance_Type match condition failed-310;,Units,0,0
Music Bundle Status,1854,314,33,314,33,1854:or:2#3:::;,4,10,4,10,,NetworkBundle specific BT ignored-4;Balance_Type match condition failed-310;,Units,0,0
Music Bundle Flavour,1855,314,51,302,35,1855:=:1:::;,18,18,10,10,,Balance_Type match condition failed-302;,Units,0,0
Music Bundle Flavour,1855,314,51,302,35,1855:=:4:::;,0,0,0,0,,Balance_Type match condition failed-302;,Units,0,0
Music Bundle Flavour,1855,314,51,302,35,1855:=:2:::;,4,8,0,0,,Balance_Type match condition failed-302;,Units,0,0
Music Bundle Free Count,1857,3,13,3,13,1857:::::;,3,13,3,13,,Balance_Type Ignored-3;,Units,0,0
_pc_MusicBndlDaily_PC,1858,8,48,0,0,1858:or:3#4#5#6:::;,8,48,0,0,,,State,0,0
FlexiCamp,1543,8872,2428329165,3013,9932900,1543:>=:1:::;,5886,2428329165,27,9932900,,Balance_Type match condition failed-2945;Balance_Type expired-68;,Time,0,0
_pc_MusicBndlDailyGrace_PC,1859,1,1,1,1,1859:or:3#4#5#6#7#8#9:::;,0,0,0,0,,Periodic Charge is not active-1;,State,0,0
BOICCredit,1270,157793,8137743000,20156,236000,1270:>=:1:::;,137642,8137743000,5,236000,,Service class Ignored-4;Balance_Type match condition failed-20151;Subscriber relation missing-1;,Cash,0,0
LocalCamp,1271,7815,1645437936,2207,4596600,1271:>=:1:::;,5652,1645437936,44,4596600,,Balance_Type match condition failed-2104;Balance_Type expired-103;,Time,0,0
InterCamp,1272,430502,28106271600,395403,35487200,1272:>=:1:::;,35482,28106271600,383,35487200,,Service class Ignored-1;Balance_Type match condition failed-394525;Balance_Type expired-875;Subscriber relation missing-2;,Time,0,0
International Community,1547,24522,19439,5083,0,1547:>=:1:::;,19439,19439,0,0,,Balance_Type match condition failed-5079;Balance_Type expired-4;,Units,0,0
CreditInterCamp,1274,1,0,1,0,1274:>=:1:::;,0,0,0,0,,Balance_Type match condition failed-1;,Cash,0,0
DataCamp,1275,241797,356976338895,140702,8472105952,1275:>=:1:::;,103174,356976338895,2079,8472105952,,Service class Ignored-1;Lifecycle lookup mismatch-2;Balance_Type match condition failed-98991;Balance_Type expired-41708;,Data,0,0
InterCampOFF,1509,1,0,1,0,1509:>=:1:::;,0,0,0,0,,Balance_Type match condition failed-1;,Time,0,0
DataCampOFF,1278,194,0,194,0,1278:>=:1:::;,0,0,0,0,,Balance_Type match condition failed-188;Balance_Type expired-6;,Data,0,0
NFCNOL_Active,1239,53,25,0,0,1239:=:0:::;,28,0,0,0,,,Units,0,0
NFCNOL_Active,1239,53,25,0,0,1239:>=:1:::;,25,25,0,0,,,Units,0,0
Data FNL WH,2892,2308,2158705460,825,9374020,2892:>=:1:::;,1492,2158705460,9,9374020,,Balance_Type match condition failed-435;Balance_Type expired-390;,Data,0,0
IDDRateCuttersActive,2852,45545,42299,41933,38687,2852:=:1:::;,42299,42299,38687,38687,,Balance_Type match condition failed-41928;Balance_Type expired-5;,Units,0,0
HardCap CUGMin AddOn1,2540,39,206301900,0,0,2540:>=:-99999999:::;,39,206301900,0,0,,,Time,0,0
HardCap NatSMS Addon1,2541,4,600,0,0,2541:>=:-99999999:::;,4,600,0,0,,,Units,0,0
TWIN SIM Count,2816,4,12,4,12,2816:::::;,0,0,0,0,,Balance_Type lookup failed-4;,Units,0,0
_pc_C_HardCapGMM100_PC,2542,702,4212,0,0,2542:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_C_HardCapGMM100_PC,2542,702,4212,0,0,2542:or:3#4#5#6:::;,702,4212,0,0,,,State,0,0
_pc_C_HardCapGMM250_PC,2543,3888,23328,1,6,2543:or:3#4#5#6:::;,3888,23328,1,6,,Subscriber relation missing-1;,State,0,0
_pc_C_HardCapGMM250_PC,2543,3888,23328,1,6,2543:or:7#8#9:::;,0,0,0,0,,Subscriber relation missing-1;,State,0,0
Zinger_Grace_End,2272,4,4,4,4,2272:::::;,4,4,4,4,,Balance_Type Ignored-4;,Units,0,0
SF Monthly Recharge,2233,740,180940000,635,0,2233:>=:1:::;,105,180940000,0,0,,Balance_Type match condition failed-635;,Cash,0,0
_pc_C_HardCapRNatVB500_PC,2549,137,822,0,0,2549:or:3#4#5#6:::;,137,822,0,0,,,State,0,0
_pc_C_HardCapRNatVB500_PC,2549,137,822,0,0,2549:or:7#8#9:::;,0,0,0,0,,,State,0,0
SF Bonus,2234,18,3625438,4,0,2234:>=:1:::;,14,3625438,0,0,,Balance_Type match condition failed-4;,Cash,0,0
SF Status,2235,302,716,179,354,2235:=:3:::;,116,348,0,0,;1141-5;,Balance_Type match condition failed-179;,Units,0,0
SF Status,2235,302,716,179,354,2235:=:1:::;,4,4,4,4,;1141-5;,Balance_Type match condition failed-179;,Units,0,0
SF Status,2235,302,716,179,354,2235:=:2:::;,182,364,175,350,;1141-5;,Balance_Type match condition failed-179;,Units,0,0
BronzeMPromoFlexiMins,3581,6826,1093224500,6826,1093224500,3581:::::;,0,0,0,0,,Balance_Type expired-129;Balance_Type lookup failed-6697;,Time,0,0
_pc_BusHybridCUG3_PC,3500,3,18,3,18,3500:::::;,0,0,0,0,,Balance_Type lookup failed-3;,State,0,0
_pc_BronzeMonPromoGrace_PC,3582,2115,6442,1253,1270,3582:or:3#4#5#6#7#8#9:::;,864,5184,2,12,;91-862;,Periodic Charge is not active-1251;Balance_Type expired-2;,State,0,0
Mar2Act,3583,3805,3799,3805,3799,3583:::::;,0,0,0,0,,Balance_Type expired-12;Balance_Type lookup failed-3793;,Units,0,0
_pc_BusHybridCUG5_PC,3542,8,48,8,48,3542:::::;,0,0,0,0,,Balance_Type lookup failed-8;,State,0,0
_pc_BusHybridCUG6_PC,3543,1,6,1,6,3543:::::;,0,0,0,0,,Balance_Type lookup failed-1;,State,0,0
Marine2Type,3584,3805,3789,3805,3789,3584:::::;,0,0,0,0,,Balance_Type expired-12;Balance_Type lookup failed-3793;,Units,0,0
_pc_BusHybridNat1_PC,3544,2,2,2,2,3544:::::;,0,0,0,0,,Balance_Type lookup failed-2;,State,0,0
Mar2UpdownType,3585,134,0,134,0,3585:::::;,0,0,0,0,,Balance_Type expired-106;Balance_Type lookup failed-28;,Units,0,0
KhaleejiControl,3503,225,447,0,0,3503:=:2:::;,220,440,0,0,,,Units,0,0
KhaleejiControl,3503,225,447,0,0,3503:=:1:::;,4,4,0,0,,,Units,0,0
KhaleejiControl,3503,225,447,0,0,3503:=:3:::;,1,3,0,0,,,Units,0,0
DlyGrace,3230,41425,141187,41425,141187,3230:::::;,41425,141187,41425,141187,,Balance_Type Ignored-41424;Subscriber relation missing-1;,Units,0,0
Mar2Count,3586,569,569,569,569,3586:::::;,0,0,0,0,,Balance_Type expired-125;Balance_Type lookup failed-444;,Units,0,0
KhaleejiMins,3504,255,42318000,250,0,3504:>=:-99999999:::;,255,42318000,250,0,,Balance_Type match condition failed-250;,Time,0,0
DlyCount,3231,3520,3520,2281,2281,3231:>=:1:::;,3520,3520,2281,2281,,Balance_Type expired-2281;,Units,0,0
Marine2Grace,3587,355,634,355,634,3587:::::;,0,0,0,0,,Balance_Type expired-125;Balance_Type lookup failed-230;,Units,0,0
TPVoice1,3272,465,12822000,53,792000,3272:>=:-99999999:::;,465,12822000,53,792000,;2506-4;,Balance_Type match condition failed-2;Balance_Type expired-44;Subscriber relation missing-7;,Time,0,0
DWL,3232,1403068,36773081,24221,5899494,3232:=:1:::;,37010,37010,0,0,,Lifecycle lookup mismatch-4;Balance_Type match condition failed-24217;,Units,0,0
DWL,3232,1403068,36773081,24221,5899494,3232:=:23:::;,1339507,30808661,4,92,,Lifecycle lookup mismatch-4;Balance_Type match condition failed-24217;,Units,0,0
DWL,3232,1403068,36773081,24221,5899494,3232:=:12:::;,2334,28008,0,0,,Lifecycle lookup mismatch-4;Balance_Type match condition failed-24217;,Units,0,0
Marine2FnF,3588,4571,622,4571,622,3588:::::;,0,0,0,0,,Balance_Type lookup failed-4571;,Units,0,0
TPVoice2,3273,744,47298000,54,1818000,3273:>=:-99999999:::;,744,47298000,54,1818000,;2507-7;,Lifecycle lookup mismatch-1;Balance_Type match condition failed-6;Balance_Type expired-42;Subscriber relation missing-5;,Time,0,0
DSWL,3233,445191,445199,4,4,3233:>=:1:::;,445191,445199,4,4,,Lifecycle lookup mismatch-2;Subscriber relation missing-2;,Units,0,0
Marine2FnFReset,3589,3723,3644,3723,3644,3589:::::;,0,0,0,0,,Balance_Type expired-9;Balance_Type lookup failed-3714;,Units,0,0
_pc_BusHybridNat3_PC,3548,3,18,3,18,3548:::::;,0,0,0,0,,Balance_Type lookup failed-3;,State,0,0
TPVoice3,3274,965,124512000,15,762000,3274:>=:-99999999:::;,965,124512000,15,762000,;2508-1;,Lifecycle lookup mismatch-2;Balance_Type match condition failed-6;Balance_Type expired-5;Subscriber relation missing-2;,Time,0,0
TPData1,3275,505,54967488,65,5237064,3275:>=:-99999999:::;,505,54948088,65,5217664,;2506-32;,Balance_Type match condition failed-4;Balance_Type expired-54;Subscriber relation missing-7;,Data,0,0
_pc_PC_Monthly_Hybrid2_Nat,3235,2,2,2,2,3235:::::;,0,0,0,0,,Balance_Type lookup failed-2;,State,0,0
TPData2,3276,775,239691272,56,10473792,3276:>=:-99999999:::;,775,239689072,56,10471592,;2507-36;,Lifecycle lookup mismatch-2;Balance_Type match condition failed-4;Balance_Type expired-45;Subscriber relation missing-5;,Data,0,0
TPData3,3277,1007,1292162424,16,18849256,3277:>=:-99999999:::;,1007,1292162424,16,18849256,;2508-42;,Lifecycle lookup mismatch-3;Balance_Type match condition failed-2;Balance_Type expired-9;Subscriber relation missing-2;,Data,0,0
FirstRechVal,3278,2033,960150000,20,9890000,3278:>=:1:::;,2033,960150000,20,9890000,,Lifecycle lookup mismatch-2;Subscriber relation missing-18;,Cash,0,0
TPFlag,3279,13302,13302,62,62,3279:=:1:::;,13302,13302,62,62,,Lifecycle lookup mismatch-8;Balance_Type expired-3;Subscriber relation missing-51;,Units,0,0
_pc_DailyRecData1,3238,63676,181874,40049,40112,3238:or:3#4#5#6:::;,23647,141882,20,120,,Periodic Charge is not active-39977;Balance_Type match condition failed-2;Balance_Type expired-69;Subscriber relation missing-1;,State,0,0
_pc_DailyGrcData1,3239,62935,213895,32754,32809,3239:or:3#4#5#6#7#8#9:::;,30200,181200,19,114,;91-30181;,Periodic Charge is not active-32691;Balance_Type expired-62;Subscriber relation missing-1;,State,0,0
Yearly Expenditure,92,14573000,14565424947842,7486642,20317571826,92:>=:1:::;,7091858,14565424947842,5500,20317571826,,SNA subs balance record ignored-16091;Service class Ignored-21996;Lifecycle lookup mismatch-44395;Balance_Type match condition failed-7396817;Balance_Type expired-7121;Subscriber relation missing-222;,Cash,0,0
OnNet Voice,51,100060,438800,100055,94700,51:>=:1:::;,6,438800,1,94700,,Service class Ignored-1;Lifecycle lookup mismatch-49;Balance_Type match condition failed-100005;,Time,0,0
BOICBonus,480,15498,5546042,11137,0,480:>=:1:::;,4361,5546042,0,0,,Balance_Type match condition failed-11136;Balance_Type expired-1;,Cash,0,0
WiFi Free Access,400,3178,0,3178,0,400:::::;,3178,0,3178,0,,Balance_Type Ignored-3178;,Units,0,0
Data,55,14473016,49831493951,14456067,202441204,55:>=:-99999999:::;,14473016,49688960531,14456067,-6437928,;5017-1931;,Service class Ignored-21945;Lifecycle lookup mismatch-44391;Balance_Type match condition failed-14388221;Balance_Type expired-1288;Subscriber relation missing-222;,Data,-470520,0
BOICAct,799,5578,21150,5578,21150,799:::::;,5578,21150,5578,21150,,Balance_Type Ignored-5578;,Units,0,0
DataHighS,759,24241,48577410,22997,0,759:>=:1:::;MBBUnlimited-=-T,0,0,0,0,;363-1243;,Balance_Type match condition failed-22997;,Data,0,0
DataHighS,759,24241,48577410,22997,0,759:>=:1:::;MBB-=-T,0,0,0,0,;363-1243;,Balance_Type match condition failed-22997;,Data,0,0
DataHighS,759,24241,48577410,22997,0,759:>:0:::;,1244,48577410,0,0,;363-1243;,Balance_Type match condition failed-22997;,Data,0,0
DataHighS,759,24241,48577410,22997,0,759:>=:1:::;MBB10GB-=-T,1,60,0,0,;363-1243;,Balance_Type match condition failed-22997;,Data,0,0
DataHighS,759,24241,48577410,22997,0,759:>=:1:::;MBB2GB-=-T,0,0,0,0,;363-1243;,Balance_Type match condition failed-22997;,Data,0,0
ThunderBolt Bonus,1973,396,0,396,0,1973:::::;,396,-127232,396,-127232,,Balance_Type Ignored-396;,Data,0,0
Srv-TravelSummer,719,2,2,0,0,719:>=:1:::;,2,2,0,0,,,Units,0,0
_pc_Smart NatVoice Bundle NoLimit,405,10,10,10,10,405:::::;,10,10,10,10,,Balance_Type Ignored-10;,State,0,0
_pc_Smart IntVoice Bundle NoLimit,406,6,6,6,6,406:::::;,0,0,0,0,,Balance_Type lookup failed-6;,State,0,0
ThunderBolt P2P Block,1975,344,344,1,1,1975:>=:1:::;,344,344,1,1,,Balance_Type expired-1;,Units,0,0
Push Email 5Mb,176,5,0,5,0,176:::::;,5,0,5,0,,Balance_Type Ignored-5;,Units,0,0
More Credit,135,44353,15447945849,16846,32976727,135:>=:1:::;,27604,15447945849,97,32976727,,Service class Ignored-5;Balance_Type match condition failed-13713;Balance_Type expired-3128;,Cash,0,0
DataGiftCount,1392,7,7,7,7,1392:::::;,7,7,7,7,,Balance_Type Ignored-7;,Units,0,0
VML Act Minutes,1394,48,0,48,0,1394:::::;,48,0,48,0,,Balance_Type Ignored-48;,Time,0,0
VML Act SMSs,1395,48,0,48,0,1395:::::;,48,0,48,0,,Balance_Type Ignored-48;,Units,0,0
RoamingDataWeeklyB,1359,197,0,197,0,1359:::::;,0,0,0,0,,Balance_Type lookup failed-197;,Cash,0,0
Social Bundle,1319,1151775,426578,1151775,426578,1319:or:2#3:::;,776,1886,776,1886,,NetworkBundle specific BT ignored-776;Lifecycle lookup mismatch-2;Balance_Type match condition failed-1150244;Balance_Type expired-750;Subscriber relation missing-3;,Units,0,0
Social Bundle,1319,1151775,426578,1151775,426578,1319:=:1:::;,109692,109692,109692,109692,,NetworkBundle specific BT ignored-776;Lifecycle lookup mismatch-2;Balance_Type match condition failed-1150244;Balance_Type expired-750;Subscriber relation missing-3;,Units,0,0
_pc_WeeklyRecCombo1,2930,509,1230,267,399,2930:or:3#4#5#6:::;,290,1011,48,180,,Periodic Charge is not active-219;Lifecycle lookup mismatch-1;Balance_Type match condition failed-46;Balance_Type expired-1;,State,0,0
SplRecSocServ,2972,7528,2673,2302,1802,2972:=:1:::;,2671,2671,1800,1800,,Balance_Type match condition failed-2285;Balance_Type expired-17;,Units,0,0
