BALANCE_TYPE_NAME,BT_ID,PROFILE_TAG,CONDITION,SOURCE_CNT,DISCARDED_CNT,DISCARDED_REMARK
_pc_DailyRecSocData1,3293,,3293:or:3#4#5#6:::;,17092,19,Balance_Type match condition failed-4;Balance_Type expired-15;
_pc_HardCapAlphaIN100_PC,3078,,3078:or:3#4#5#6:::;,29,0,
_pc_NPP Data Bundle D2,1463,,1463:or:7#8#9:::;,7,0,
,,Bespoke,Bespoke:=:T::::;,104102,104102,BT mapped CIS Product Mapping failed-104065;Subscriber relation missing-37;
,,NPPBISDAPMod,NPPBISDAPMod:=:T::::;,20,0,
_pc_BCP100FLVRNew_PC,2059,,2059:or:3#4#5#6:::;,13,0,
_pc_BCP2IDDTopUp14_PC,2999,,2999:or:3#4#5#6:::;,1,0,
_pc_BlackBerry25GB_R,1039,,1039:or:3#4#5#6:::;,10,0,
_pc_BCP2NatTopUp3_PC,1557,,1557:or:3#4#5#6:::;,149,0,
_pc_MusicBndlDaily_PC,1858,,1858:or:3#4#5#6:::;,8,0,
RRMCState,1832,,1832:=:6:::;,6492,6492,Service class Ignored-4;BT mapped CIS Product Mapping failed-6488;
_pc_RoamDataDailyA_PC,1200,,1200:or:3#4#5#6:::;,7,0,
,,TP_Social_Deact_Conf,TP_Social_Deact_Conf:=:T::::;,14543,14543,Lifecycle lookup mismatch-2;BT mapped CIS Product Mapping failed-14519;Subscriber relation missing-22;
_pc_DataBndl1024MBRec,3218,,3218:or:3#4#5#6:::;,907,0,
_pc_C_HardCapBIntPlus50_PC,2555,,2555:or:3#4#5#6:::;,5,0,
_pc_BCP200FLVRNew_PC,2060,,2060:or:3#4#5#6:::;,17,0,
P2PAllowed,1266,,1266:=:0:::;,5,0,
_pc_MonthlyRecSpecial1,3037,,3037:or:1#2:::;,5151,5151,Periodic Charge is not active-5151;
_pc_DataBndl4GBRec,316,,316:or:7#8#9:::;,11,0,
_pc_DataBndl25GBRec,968,,968:or:7#8#9:::;,5,0,
_pc_DataBndl40MBRec,966,,966:or:7#8#9:::;,3,0,
One Off Data,1633,,1633:=:5242880:::;,2021,0,
,,EmiratiPlan,EmiratiPlan:=:T::::;,117670,63,Lifecycle lookup mismatch-5;Subscriber relation missing-58;
_pc_BCP2IDDTopUp13_PC,2998,,2998:or:3#4#5#6:::;,1,0,
,,NewPPBundle,NewPPBundle:=:Monthly4:P:::;,11,0,
_pc_BCP2NatTopUp2_PC,1556,,1556:or:3#4#5#6:::;,15562,1,Subscriber relation missing-1;
_pc_DVBReset_PC,1208,,1208:or:3#4#5#6:::;,2626,4,Balance_Type expired-4;
_pc_BCP2IDDTopUp1_PC,1563,,1563:or:3#4#5#6:::;,7,0,
Premier Plan,1387,,1387:=:1:::;,97,0,
,,TopXCountr5,TopXCountr5:=:T::::;,27,0,
_pc_NPP BBService Check,1473,,1473:or:3#4#5#6:::;,187,0,
IDDBundleOffer,3450,,3450:>=:1:::;,4544,24,Balance_Type expired-24;
_pc_SF Tier-3,2254,,2254:or:3#4#5#6:::;,111,0,
,,NewPPBundle,NewPPBundle:=:Monthly6:P:::;,55,0,
_pc_950 AED Auto Topup,528,,528:or:3#4#5#6:::;,190,0,
_pc_BCP2IDDTopUp10_PC,2037,,2037:or:3#4#5#6:::;,1,0,
_pc_0060 AED Auto Topup,1104,,1104:or:3#4#5#6:::;,251,0,
_pc_Mercury7D_PC,3302,,3302:or:3#4#5#6:::;,2488,300,Service class Ignored-1;Balance_Type match condition failed-299;
_pc_PCOneOffDailyReset,2022,,2022:or:3#4#5#6:::;,166833,166829,Balance_Type match condition failed-166724;Balance_Type expired-105;
_pc_HardCapBMP100_PC,2440,,2440:or:3#4#5#6:::;,342,0,
Offer ID,3212,,3212:>=:1:::;,4007113,6,Lifecycle lookup mismatch-1;Subscriber relation missing-5;
_pc_PC_CRD_BusAuto100_MRC,600,,600:or:3#4#5#6:::;,922,0,
_pc_BCP20FLVRNew_PC,2063,,2063:or:3#4#5#6:::;,42,0,
,,CVM,CVM:=:2::::;,13315,0,
_pc_BCP2IDDTopUp12_PC,2997,,2997:or:3#4#5#6:::;,7,0,
_pc_BCP2NatTopUp1_PC,1555,,1555:or:3#4#5#6:::;,3427,0,
_pc_PC_InternatWeekly,1594,,1594:or:7#8#9:::;,2,0,
_pc_C_HardCapNatSMS100_PC,2574,,2574:or:3#4#5#6:::;,3,0,
LocalCamp,1271,,1271:>=:1:::;,5652,44,Balance_Type expired-44;
_pc_NPP Data Bundle M1,1464,,1464:or:7#8#9:::;,2,0,
_pc_MonthlyRecCombo1,2931,,2931:or:3#4#5#6:::;,43451,13,Balance_Type match condition failed-1;Balance_Type expired-7;Subscriber relation missing-5;
RoamingDataWeekly,1198,,1198:>=:-99999999:::;,3200,0,
NepalOfferActive,2712,,2712:>=:1:::;,116113,5,Lifecycle lookup mismatch-3;Subscriber relation missing-2;
_pc_DataBndl1024MBRec,3218,,3218:or:7#8#9:::;,39,0,
TPVoice3,3274,,3274:>=:-99999999:::;,964,15,Lifecycle lookup mismatch-2;Balance_Type match condition failed-6;Balance_Type expired-5;Subscriber relation missing-2;
more data highspeed,780,,780:>=:1:::;,62,0,
Srv-PassportActive,700,,700:>=:1:::;,4460,1,Service class Ignored-1;
CreditFlexiCamp,1281,,1281:>=:1:::;,9890,0,
